trial_id,loss,accuracy,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/batch_size,config/lr,config/alpha,config/beta
19eae_00000,0.40836979166666665,90.03333333333333,514.6527216434479,True,True,,,6,f4f173a07f884916aa72d20ee9efe32e,2022-12-20_00-05-49,1671491149,4097.998077630997,34624,MSI-Tommy,127.0.0.1,4097.998077630997,0,6,0.08054423332214355,"0_alpha=0,batch_size=32,beta=0,lr=0.0003",32,0.0002822880925323201,0,0
19eae_00001,1.0147107712765957,80.93333333333334,396.7857005596161,True,True,,,3,d2a7115790854f55a6dda36841cef16c,2022-12-20_00-25-05,1671492305,1146.417920589447,26996,MSI-Tommy,127.0.0.1,1146.417920589447,0,3,0.011000871658325195,"1_alpha=0,batch_size=128,beta=0,lr=0.0003",128,0.00034245735808007715,0,0
19eae_00002,0.12357541348071809,96.475,456.62415313720703,True,True,,,6,7eefd807184240b4805d2309771a6555,2022-12-20_01-08-12,1671494892,2576.2428872585297,4288,MSI-Tommy,127.0.0.1,2576.2428872585297,0,6,0.01938605308532715,"2_alpha=0,batch_size=64,beta=0,lr=0.0012",64,0.001172078032727439,0,0
19eae_00003,0.0869832140334109,97.35833333333333,426.68573093414307,True,True,,,6,1fba622a91964979bfe8e41c58c02c5a,2022-12-20_01-51-54,1671497514,2612.769843816757,34228,MSI-Tommy,127.0.0.1,2612.769843816757,0,6,0.0,"3_alpha=0,batch_size=64,beta=0,lr=0.0032",64,0.003172197778201321,0,0
19eae_00004,0.21299808583361038,93.95833333333333,435.7139148712158,True,True,,,6,e8ca59b59922448b914e675c2ea1d5ac,2022-12-20_02-35-15,1671500115,2592.5010797977448,21784,MSI-Tommy,127.0.0.1,2592.5010797977448,0,6,0.004113912582397461,"4_alpha=0,batch_size=64,beta=0,lr=0.0048",64,0.004787709852441653,0,0
19eae_00005,1.239278590425532,73.78333333333333,373.3199625015259,True,True,,,3,3128f230eb3b44f4b6352ac9c70d3ef7,2022-12-20_02-54-14,1671501254,1129.6151270866394,33232,MSI-Tommy,127.0.0.1,1129.6151270866394,0,3,0.0049495697021484375,"5_alpha=0,batch_size=128,beta=0,lr=0.0002",128,0.00022834732339501376,0,0
19eae_00006,0.2650904947916667,92.125,512.780779838562,True,True,,,6,4cf0826e743044658acc5e583a08b160,2022-12-20_03-46-01,1671504361,3097.53280210495,35196,MSI-Tommy,127.0.0.1,3097.53280210495,0,6,0.007008552551269531,"6_alpha=0,batch_size=32,beta=0,lr=0.0063",32,0.006285109976353896,0,0
19eae_00007,1.1157953789893618,67.35833333333333,413.32509088516235,True,True,,,3,188987bc6bc9406aa976b2c580eed4e0,2022-12-20_04-06-46,1671505606,1235.9344685077667,36964,MSI-Tommy,127.0.0.1,1235.9344685077667,0,3,0.006020784378051758,"7_alpha=0,batch_size=64,beta=0,lr=0.0002",64,0.00015640917225632272,0,0
19eae_00008,0.2633705950797872,93.00833333333334,509.85575437545776,True,True,,,6,913b5bca0da147e1b90ef92cdac5d0ea,2022-12-20_10-40-27,1671529227,23611.758734703064,10948,MSI-Tommy,127.0.0.1,23611.758734703064,0,6,0.0059964656829833984,"8_alpha=0,batch_size=128,beta=0,lr=0.0083",128,0.008324088964511173,0,0
19eae_00009,0.09999441593251329,96.98333333333333,449.16349244117737,True,True,,,6,c0ad3571b86f449d8c4a6ee019962750,2022-12-20_11-31-35,1671532295,3054.5851237773895,18728,MSI-Tommy,127.0.0.1,3054.5851237773895,0,6,0.007003307342529297,"9_alpha=0,batch_size=128,beta=0,lr=0.0031",128,0.0031244559002441942,0,0
